timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,purity,ari,modularity,composite_score,elapsed_sec
2026-04-22 23:44:33,coarse,15,50.0,Leiden,505,21.742574,0.722907,0.392987,0.221826,0.513338,0.485642,2.109714
2026-04-22 23:44:33,coarse,15,50.0,Louvain,496,22.137097,0.721173,0.389435,0.222548,0.513715,0.484492,2.182227
2026-04-22 23:44:36,coarse,15,80.0,Leiden,704,15.596591,0.742058,0.442714,0.220583,0.465707,0.498112,2.316096
2026-04-22 23:44:36,coarse,15,80.0,Louvain,707,15.530410,0.741342,0.442168,0.218843,0.463105,0.496934,2.367306
2026-04-22 23:44:38,coarse,15,100.0,Leiden,843,13.024911,0.752532,0.474772,0.220175,0.440076,0.506027,2.300078
2026-04-22 23:44:38,coarse,15,100.0,Louvain,851,12.902468,0.751563,0.471858,0.218079,0.434827,0.503903,2.315322
2026-04-22 23:44:41,coarse,20,1.0,Leiden,24,457.500000,0.442287,0.088160,0.031741,0.736095,0.277679,2.282867
2026-04-22 23:44:41,coarse,20,1.0,Louvain,25,439.200000,0.445937,0.094171,0.031633,0.724814,0.279180,2.433049
2026-04-22 23:44:43,coarse,20,5.0,Leiden,84,130.714286,0.583715,0.184882,0.101776,0.660638,0.367059,2.151376
2026-04-22 23:44:43,coarse,20,5.0,Louvain,87,126.206897,0.582543,0.191803,0.103272,0.649204,0.367280,2.477746
2026-04-22 23:44:46,coarse,20,10.0,Leiden,147,74.693878,0.632781,0.244536,0.151147,0.599632,0.407327,2.412799
2026-04-22 23:44:46,coarse,20,10.0,Louvain,143,76.783217,0.627461,0.235883,0.144125,0.595539,0.400952,2.531827
2026-04-22 23:44:49,coarse,20,20.0,Leiden,241,45.560166,0.672429,0.295628,0.194952,0.543993,0.440982,2.533463
2026-04-22 23:44:49,coarse,20,20.0,Louvain,243,45.185185,0.668762,0.295446,0.186871,0.539696,0.436625,2.734244
2026-04-22 23:44:52,coarse,20,30.0,Leiden,326,33.680982,0.692352,0.333242,0.213021,0.505026,0.457998,2.535997
2026-04-22 23:44:52,coarse,20,30.0,Louvain,325,33.784615,0.689212,0.327413,0.206800,0.502340,0.453442,2.649906
2026-04-22 23:44:55,coarse,20,50.0,Leiden,484,22.685950,0.717609,0.381421,0.226203,0.456274,0.476816,2.813066
2026-04-22 23:44:55,coarse,20,50.0,Louvain,483,22.732919,0.716042,0.380783,0.226691,0.455111,0.476092,2.855808
2026-04-22 23:44:58,coarse,20,80.0,Leiden,742,14.797844,0.741055,0.438707,0.225446,0.401334,0.491930,2.720863
2026-04-22 23:44:58,coarse,20,80.0,Louvain,735,14.938776,0.741485,0.442532,0.229451,0.398500,0.493785,2.719207
2026-04-22 23:45:01,coarse,20,100.0,Leiden,913,12.026287,0.752784,0.475228,0.224219,0.370760,0.500501,3.001088
2026-04-22 23:45:01,coarse,20,100.0,Louvain,908,12.092511,0.751058,0.472404,0.221609,0.367940,0.498181,3.224247
2026-04-22 23:45:05,coarse,25,1.0,Leiden,21,522.857143,0.430522,0.084699,0.029473,0.717559,0.269747,3.438532
2026-04-22 23:45:05,coarse,25,1.0,Louvain,20,549.000000,0.422575,0.083424,0.026872,0.705619,0.264338,3.852360
2026-04-22 23:45:10,coarse,25,5.0,Leiden,74,148.378378,0.570573,0.172404,0.097278,0.637566,0.355650,3.567487
2026-04-22 23:45:10,coarse,25,5.0,Louvain,74,148.378378,0.566768,0.170856,0.097313,0.625071,0.352580,4.052161
2026-04-22 23:45:14,coarse,25,10.0,Leiden,130,84.461538,0.620476,0.226776,0.143035,0.572827,0.393739,3.353809
2026-04-22 23:45:14,coarse,25,10.0,Louvain,134,81.940299,0.621191,0.231148,0.141923,0.565627,0.393846,3.333032
2026-04-22 23:45:17,coarse,25,20.0,Leiden,233,47.124464,0.668319,0.292441,0.191928,0.508355,0.434230,2.884829
2026-04-22 23:45:17,coarse,25,20.0,Louvain,233,47.124464,0.666344,0.289800,0.187760,0.500773,0.430903,2.999551
2026-04-22 23:45:20,coarse,25,30.0,Leiden,306,35.882353,0.686249,0.320856,0.207651,0.468085,0.447775,2.561038
2026-04-22 23:45:20,coarse,25,30.0,Louvain,317,34.637224,0.686937,0.321949,0.208488,0.463513,0.448062,2.725199
2026-04-22 23:45:23,coarse,25,50.0,Leiden,494,22.226721,0.716767,0.382332,0.227781,0.413579,0.472866,2.266227
2026-04-22 23:45:23,coarse,25,50.0,Louvain,497,22.092555,0.716255,0.381421,0.223229,0.409289,0.470684,2.579216
2026-04-22 23:45:26,coarse,25,80.0,Leiden,786,13.969466,0.742965,0.444627,0.233923,0.353026,0.491591,2.867657
2026-04-22 23:45:26,coarse,25,80.0,Louvain,789,13.916350,0.742687,0.445537,0.233353,0.349566,0.491145,3.095759
2026-04-22 23:45:30,coarse,25,100.0,Leiden,992,11.068548,0.754406,0.479417,0.229065,0.320339,0.498399,3.671211
2026-04-22 23:45:30,coarse,25,100.0,Louvain,990,11.090909,0.753735,0.481512,0.226220,0.317455,0.497408,3.760010
2026-04-22 23:45:34,coarse,30,1.0,Leiden,19,577.894737,0.419282,0.082332,0.026252,0.706847,0.262739,3.101755
2026-04-22 23:45:34,coarse,30,1.0,Louvain,19,577.894737,0.417676,0.080328,0.025713,0.693293,0.260179,3.514695
2026-04-22 23:45:38,coarse,30,5.0,Leiden,63,174.285714,0.557966,0.156648,0.091375,0.618053,0.343734,2.903073
2026-04-22 23:45:38,coarse,30,5.0,Louvain,70,156.857143,0.560775,0.167395,0.092822,0.603783,0.346014,3.218497
2026-04-22 23:45:42,coarse,30,10.0,Leiden,125,87.840000,0.616231,0.222222,0.138249,0.546756,0.387087,3.167876
2026-04-22 23:45:42,coarse,30,10.0,Louvain,121,90.743802,0.611311,0.219126,0.135136,0.545433,0.383434,3.628690
2026-04-22 23:45:45,coarse,30,20.0,Leiden,224,49.017857,0.664913,0.283333,0.185215,0.475330,0.425729,2.283395
2026-04-22 23:45:45,coarse,30,20.0,Louvain,224,49.017857,0.663073,0.283698,0.185581,0.471066,0.424750,2.467678
2026-04-22 23:45:48,coarse,30,30.0,Leiden,311,35.305466,0.685602,0.316485,0.207395,0.435355,0.443292,2.751251
2026-04-22 23:45:48,coarse,30,30.0,Louvain,312,35.192308,0.685814,0.319217,0.208634,0.430110,0.443770,2.968813
2026-04-22 23:45:51,coarse,30,50.0,Leiden,514,21.361868,0.717488,0.379053,0.231424,0.377404,0.469973,2.554088
2026-04-22 23:45:51,coarse,30,50.0,Louvain,512,21.445312,0.716635,0.380419,0.227251,0.372181,0.468131,2.854580
2026-04-22 23:45:55,coarse,30,80.0,Leiden,859,12.782305,0.743304,0.448998,0.234477,0.313931,0.488858,3.606365
2026-04-22 23:45:55,coarse,30,80.0,Louvain,847,12.963400,0.743725,0.449089,0.234487,0.312450,0.488899,4.052542
2026-04-22 23:45:59,coarse,30,100.0,Leiden,1098,10.000000,0.756862,0.488798,0.233900,0.281584,0.498833,3.202714
2026-04-22 23:45:59,coarse,30,100.0,Louvain,1087,10.101196,0.755785,0.488160,0.233699,0.280665,0.498122,3.437886
2026-04-22 23:46:03,fine,3,70.0,Leiden,1084,10.129151,0.761124,0.542805,0.168821,0.803359,0.543993,2.601957
2026-04-22 23:46:03,fine,3,70.0,Louvain,1083,10.138504,0.761119,0.541257,0.169631,0.798919,0.543481,2.528966
2026-04-22 23:46:05,fine,3,85.0,Leiden,1164,9.432990,0.765534,0.554918,0.167513,0.794562,0.546907,2.332023
2026-04-22 23:46:05,fine,3,85.0,Louvain,1156,9.498270,0.765387,0.555191,0.168533,0.790998,0.546853,2.381215
2026-04-22 23:46:08,fine,3,115.0,Leiden,1278,8.591549,0.771976,0.574408,0.165825,0.781435,0.551563,2.484926
2026-04-22 23:46:08,fine,3,115.0,Louvain,1281,8.571429,0.771525,0.572860,0.164708,0.777588,0.550353,2.483481
2026-04-22 23:46:10,fine,3,130.0,Leiden,1321,8.311885,0.774070,0.581148,0.164247,0.775990,0.552731,2.141834
2026-04-22 23:46:10,fine,3,130.0,Louvain,1321,8.311885,0.773935,0.580601,0.164779,0.773446,0.552472,2.112538
2026-04-22 23:46:13,fine,4,70.0,Leiden,942,11.656051,0.756617,0.518397,0.183287,0.751346,0.536447,2.363771
2026-04-22 23:46:13,fine,4,70.0,Louvain,944,11.631356,0.755664,0.517395,0.183466,0.746301,0.535415,2.202512
2026-04-22 23:46:16,fine,4,85.0,Leiden,1029,10.670554,0.762062,0.534882,0.182011,0.740984,0.540503,3.029294
2026-04-22 23:46:16,fine,4,85.0,Louvain,1024,10.722656,0.760821,0.532058,0.180904,0.736300,0.538641,2.971449
2026-04-22 23:46:22,fine,4,115.0,Leiden,1145,9.589520,0.769079,0.555191,0.179663,0.724789,0.545048,6.042513
2026-04-22 23:46:22,fine,4,115.0,Louvain,1146,9.581152,0.768351,0.553188,0.179211,0.720510,0.543792,5.968489
2026-04-22 23:46:28,fine,4,130.0,Leiden,1208,9.089404,0.771946,0.564026,0.177102,0.717560,0.546470,6.112668
2026-04-22 23:46:28,fine,4,130.0,Louvain,1201,9.142381,0.770196,0.560474,0.176560,0.714920,0.544633,6.021248
2026-04-22 23:46:35,fine,6,70.0,Leiden,801,13.707865,0.750690,0.485610,0.199851,0.668744,0.524228,6.193698
2026-04-22 23:46:35,fine,6,70.0,Louvain,807,13.605948,0.750466,0.487158,0.200960,0.664591,0.524365,6.143820
2026-04-22 23:46:42,fine,6,85.0,Leiden,892,12.309417,0.757552,0.505920,0.200867,0.655503,0.530015,6.329252
2026-04-22 23:46:42,fine,6,85.0,Louvain,882,12.448980,0.755451,0.501639,0.199253,0.651847,0.527469,6.513789
2026-04-22 23:46:49,fine,6,115.0,Leiden,1036,10.598456,0.766839,0.533789,0.198911,0.632783,0.536445,6.304837
2026-04-22 23:46:49,fine,6,115.0,Louvain,1033,10.629235,0.765133,0.530419,0.195617,0.629923,0.533814,6.243834
2026-04-22 23:46:53,fine,6,130.0,Leiden,1091,10.064161,0.768180,0.540893,0.192094,0.624373,0.535516,3.505136
2026-04-22 23:46:53,fine,6,130.0,Louvain,1088,10.091912,0.767917,0.540619,0.192493,0.622277,0.535266,3.492171
2026-04-22 23:46:55,fine,7,70.0,Leiden,760,14.447368,0.748705,0.475319,0.207558,0.635052,0.520318,2.299215
2026-04-22 23:46:55,fine,7,70.0,Louvain,746,14.718499,0.746808,0.470765,0.207539,0.633177,0.518456,2.302324
2026-04-22 23:46:57,fine,7,85.0,Leiden,837,13.118280,0.753909,0.490437,0.205927,0.620416,0.523471,2.018679
2026-04-22 23:46:57,fine,7,85.0,Louvain,832,13.197115,0.753580,0.490346,0.206695,0.619679,0.523478,1.996975
2026-04-22 23:46:59,fine,7,115.0,Leiden,1003,10.947159,0.765041,0.522222,0.202868,0.595124,0.530834,2.098275
2026-04-22 23:46:59,fine,7,115.0,Louvain,995,11.035176,0.763420,0.518215,0.202187,0.595129,0.529180,2.104831
2026-04-22 23:47:02,fine,7,130.0,Leiden,1076,10.204461,0.769153,0.534973,0.201694,0.585053,0.533669,2.029110
2026-04-22 23:47:02,fine,7,130.0,Louvain,1070,10.261682,0.767798,0.534062,0.202772,0.583842,0.533147,2.057047
2026-04-23 09:13:59,coarse,5,1.0,Leiden,103,106.601942,0.555183,0.168670,0.054342,0.858012,0.357911,2.125234
2026-04-23 09:13:59,coarse,5,1.0,Louvain,89,123.370787,0.541726,0.158379,0.045556,0.848478,0.346880,2.117427
2026-04-23 09:14:01,coarse,5,5.0,Leiden,237,46.329114,0.649676,0.281967,0.128110,0.819214,0.436618,1.920929
2026-04-23 09:14:01,coarse,5,5.0,Louvain,226,48.584071,0.644804,0.275319,0.120426,0.816612,0.430774,1.882450
2026-04-23 09:14:03,coarse,5,10.0,Leiden,362,30.331492,0.688492,0.347996,0.165902,0.792024,0.473969,1.935748
2026-04-23 09:14:03,coarse,5,10.0,Louvain,343,32.011662,0.685219,0.341803,0.162561,0.786045,0.469821,1.920854
2026-04-23 09:14:06,coarse,5,20.0,Leiden,499,22.004008,0.715334,0.404827,0.187036,0.766009,0.499811,1.941988
2026-04-23 09:14:06,coarse,5,20.0,Louvain,496,22.137097,0.714710,0.401184,0.185516,0.759715,0.497747,1.938601
2026-04-23 09:14:08,coarse,5,30.0,Leiden,603,18.208955,0.730042,0.439891,0.192481,0.749513,0.512690,1.942135
2026-04-23 09:14:08,coarse,5,30.0,Louvain,587,18.705281,0.726884,0.432149,0.190984,0.745992,0.509078,1.895660
2026-04-23 09:14:10,coarse,5,50.0,Leiden,747,14.698795,0.744978,0.478142,0.193839,0.725507,0.524322,1.876529
2026-04-23 09:14:10,coarse,5,50.0,Louvain,746,14.718499,0.744061,0.478689,0.193275,0.721555,0.523500,1.856414
2026-04-23 09:14:12,coarse,5,80.0,Leiden,923,11.895991,0.757999,0.514572,0.192894,0.701035,0.534085,1.888299
2026-04-23 09:14:12,coarse,5,80.0,Louvain,921,11.921824,0.757359,0.513479,0.192249,0.696703,0.532984,1.861519
2026-04-23 09:14:14,coarse,5,100.0,Leiden,1027,10.691334,0.764819,0.536157,0.190481,0.686041,0.538907,1.919979
2026-04-23 09:14:14,coarse,5,100.0,Louvain,1018,10.785855,0.763078,0.531056,0.189195,0.683662,0.536567,1.972788
2026-04-23 09:14:16,coarse,10,1.0,Leiden,39,281.538462,0.498195,0.124317,0.039811,0.791745,0.315259,1.941925
2026-04-23 09:14:16,coarse,10,1.0,Louvain,39,281.538462,0.489517,0.120947,0.039438,0.785766,0.310404,1.985436
2026-04-23 09:14:18,coarse,10,5.0,Leiden,128,85.781250,0.614843,0.227869,0.118932,0.736011,0.400792,2.006424
2026-04-23 09:14:18,coarse,10,5.0,Louvain,124,88.548387,0.610252,0.222131,0.113558,0.730475,0.395642,2.052011
