timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 01:18:14,coarse,20,5.0,Leiden,395,27.797468,0.745144,0.382696,0.433151,0.227250,0.789846,0.457272,5.058878
2026-05-10 01:18:14,coarse,20,5.0,Louvain,370,29.675676,0.741088,0.371767,0.422131,0.229466,0.785585,0.450013,4.957347
2026-05-10 01:18:18,coarse,20,10.0,Leiden,487,22.546201,0.764377,0.400182,0.477687,0.259330,0.769355,0.478102,4.312414
2026-05-10 01:18:18,coarse,20,10.0,Louvain,468,23.461538,0.759891,0.399545,0.468761,0.254552,0.764480,0.475034,4.046218
2026-05-10 01:18:23,coarse,20,20.0,Leiden,601,18.269551,0.775738,0.414299,0.518124,0.273024,0.741571,0.492141,4.090255
2026-05-10 01:18:23,coarse,20,20.0,Louvain,581,18.898451,0.772229,0.407923,0.510747,0.270182,0.736385,0.486829,4.072487
2026-05-10 01:18:26,coarse,20,40.0,Leiden,745,14.738255,0.786101,0.412386,0.559836,0.275700,0.703818,0.495943,2.855112
2026-05-10 01:18:26,coarse,20,40.0,Louvain,718,15.292479,0.784361,0.410929,0.552823,0.273928,0.700423,0.493729,2.872999
2026-05-10 01:18:29,coarse,20,80.0,Leiden,915,12.000000,0.795635,0.408288,0.601913,0.267932,0.645001,0.495902,2.486817
2026-05-10 01:18:29,coarse,20,80.0,Louvain,899,12.213571,0.794526,0.405647,0.598634,0.266506,0.641596,0.493647,2.589365
2026-05-10 01:18:32,coarse,25,0.5,Leiden,158,69.493671,0.658412,0.258106,0.271858,0.089642,0.792143,0.340974,2.324963
2026-05-10 01:18:32,coarse,25,0.5,Louvain,128,85.781250,0.648213,0.236066,0.247723,0.086945,0.785724,0.324776,2.346106
2026-05-10 01:18:34,coarse,25,1.0,Leiden,196,56.020408,0.685058,0.295902,0.312750,0.127374,0.783366,0.374512,2.430773
2026-05-10 01:18:34,coarse,25,1.0,Louvain,177,62.033898,0.681130,0.284608,0.297359,0.127437,0.775355,0.366149,2.388005
2026-05-10 01:18:37,coarse,25,2.0,Leiden,250,43.920000,0.713858,0.336794,0.361566,0.183407,0.767515,0.413212,2.540887
2026-05-10 01:18:37,coarse,25,2.0,Louvain,232,47.327586,0.707567,0.330237,0.351002,0.173668,0.763401,0.405952,2.494319
2026-05-10 01:18:40,coarse,25,5.0,Leiden,349,31.461318,0.741585,0.372678,0.416849,0.229190,0.743416,0.447890,2.604848
2026-05-10 01:18:40,coarse,25,5.0,Louvain,324,33.888889,0.735258,0.363661,0.404372,0.216957,0.742644,0.438995,2.684094
2026-05-10 01:18:43,coarse,25,10.0,Leiden,442,24.841629,0.759615,0.397814,0.463752,0.255823,0.719422,0.471550,2.525430
2026-05-10 01:18:43,coarse,25,10.0,Louvain,418,26.267943,0.755632,0.394809,0.454007,0.253400,0.716037,0.467743,2.496481
2026-05-10 01:18:46,coarse,25,20.0,Leiden,549,20.000000,0.773985,0.417942,0.508106,0.278391,0.688399,0.490757,2.399659
2026-05-10 01:18:46,coarse,25,20.0,Louvain,526,20.874525,0.770407,0.410200,0.498179,0.273106,0.684629,0.484197,2.411382
2026-05-10 01:18:48,coarse,25,40.0,Leiden,685,16.029197,0.784754,0.423953,0.550455,0.285987,0.645144,0.499128,2.471455
2026-05-10 01:18:48,coarse,25,40.0,Louvain,663,16.561086,0.783349,0.423315,0.545719,0.288054,0.641793,0.498197,2.494304
2026-05-10 01:18:51,coarse,25,80.0,Leiden,885,12.406780,0.794541,0.412386,0.595173,0.277143,0.567002,0.494540,2.429670
2026-05-10 01:18:51,coarse,25,80.0,Louvain,863,12.723059,0.792356,0.411566,0.589982,0.272353,0.566711,0.492441,2.429235
2026-05-10 01:18:54,coarse,30,0.5,Leiden,122,90.000000,0.645736,0.239253,0.247359,0.099625,0.763446,0.326626,2.613073
2026-05-10 01:18:54,coarse,30,0.5,Louvain,105,104.571429,0.635964,0.232149,0.239253,0.089213,0.756459,0.318398,2.571568
2026-05-10 01:18:57,coarse,30,1.0,Leiden,182,60.329670,0.683554,0.291439,0.307832,0.129145,0.743472,0.369759,2.609015
2026-05-10 01:18:57,coarse,30,1.0,Louvain,159,69.056604,0.674466,0.275046,0.290164,0.115928,0.742314,0.355937,2.647331
2026-05-10 01:18:59,coarse,30,2.0,Leiden,229,47.947598,0.708823,0.326230,0.348543,0.177560,0.728083,0.402772,2.332808
2026-05-10 01:18:59,coarse,30,2.0,Louvain,207,53.043478,0.702274,0.321129,0.341803,0.167306,0.722450,0.396418,2.379201
