timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 10:38:35,coarse,20,5.0,Leiden,357,30.756303,0.719888,0.348179,0.396448,0.189829,0.746600,0.423516,2.008377
2026-05-10 10:38:35,coarse,20,5.0,Louvain,333,32.972973,0.717387,0.343989,0.387250,0.196828,0.742633,0.420853,2.034943
2026-05-10 10:38:37,coarse,20,10.0,Leiden,451,24.345898,0.738637,0.368124,0.437796,0.221379,0.722953,0.444923,2.146503
2026-05-10 10:38:37,coarse,20,10.0,Louvain,427,25.714286,0.735457,0.365483,0.432423,0.217854,0.720873,0.441797,2.075361
2026-05-10 10:38:39,coarse,20,20.0,Leiden,577,19.029463,0.753993,0.381603,0.482605,0.238611,0.691256,0.460215,2.046680
2026-05-10 10:38:39,coarse,20,20.0,Louvain,557,19.712747,0.751791,0.377140,0.476230,0.234345,0.687289,0.456068,2.009585
2026-05-10 10:38:41,coarse,20,40.0,Leiden,732,15.000000,0.768226,0.383242,0.528689,0.240635,0.647584,0.466610,2.031547
2026-05-10 10:38:41,coarse,20,40.0,Louvain,711,15.443038,0.765885,0.378962,0.522860,0.238619,0.644371,0.462955,2.008986
2026-05-10 10:38:44,coarse,20,80.0,Leiden,923,11.895991,0.779015,0.373953,0.571311,0.233768,0.587658,0.464359,2.080412
2026-05-10 10:38:44,coarse,20,80.0,Louvain,900,12.200000,0.778217,0.375137,0.568579,0.236892,0.588130,0.465010,2.029147
2026-05-10 10:38:46,coarse,25,0.5,Leiden,103,106.601942,0.613963,0.210565,0.217031,0.089016,0.769841,0.301622,2.064006
2026-05-10 10:38:46,coarse,25,0.5,Louvain,91,120.659341,0.604711,0.198361,0.202368,0.075979,0.762188,0.289865,2.088379
2026-05-10 10:38:48,coarse,25,1.0,Leiden,154,71.298701,0.654448,0.261111,0.272222,0.124222,0.751509,0.344876,2.143651
2026-05-10 10:38:48,coarse,25,1.0,Louvain,138,79.565217,0.647503,0.250546,0.257832,0.121959,0.743585,0.336030,2.190442
2026-05-10 10:38:51,coarse,25,2.0,Leiden,206,53.300971,0.681899,0.300820,0.320492,0.167573,0.731913,0.380570,2.047720
2026-05-10 10:38:51,coarse,25,2.0,Louvain,189,58.095238,0.673849,0.289891,0.306193,0.147499,0.726726,0.368796,2.110905
2026-05-10 10:38:53,coarse,25,5.0,Leiden,318,34.528302,0.714670,0.340437,0.382878,0.189106,0.699264,0.414769,1.990301
2026-05-10 10:38:53,coarse,25,5.0,Louvain,298,36.845638,0.710753,0.335519,0.371129,0.190313,0.692355,0.410188,2.127128
2026-05-10 10:38:55,coarse,25,10.0,Leiden,406,27.044335,0.732133,0.362295,0.424772,0.217427,0.671672,0.436249,2.005388
2026-05-10 10:38:55,coarse,25,10.0,Louvain,393,27.938931,0.731617,0.360291,0.422313,0.224481,0.666716,0.435708,1.992802
2026-05-10 10:38:57,coarse,25,20.0,Leiden,534,20.561798,0.751361,0.380419,0.471949,0.234764,0.633922,0.454587,2.022394
2026-05-10 10:38:57,coarse,25,20.0,Louvain,512,21.445312,0.749103,0.376685,0.464936,0.239537,0.627874,0.451981,2.028508
2026-05-10 10:39:00,coarse,25,40.0,Leiden,694,15.821326,0.767965,0.389617,0.525137,0.252234,0.581596,0.467830,2.145801
2026-05-10 10:39:00,coarse,25,40.0,Louvain,675,16.266667,0.765353,0.385610,0.518124,0.247884,0.576442,0.463693,2.147862
2026-05-10 10:39:02,coarse,25,80.0,Leiden,912,12.039474,0.778973,0.376958,0.569672,0.239512,0.510379,0.462687,2.110271
2026-05-10 10:39:02,coarse,25,80.0,Louvain,893,12.295633,0.776999,0.374408,0.563206,0.238346,0.506702,0.460012,2.112230
2026-05-10 10:39:04,coarse,30,0.5,Leiden,88,124.772727,0.601253,0.196721,0.202550,0.087430,0.740350,0.288998,2.011816
2026-05-10 10:39:04,coarse,30,0.5,Louvain,83,132.289157,0.597052,0.190346,0.194444,0.068416,0.732578,0.280919,2.068053
2026-05-10 10:39:06,coarse,30,1.0,Leiden,137,80.145985,0.644723,0.245993,0.254463,0.117616,0.718731,0.330966,2.013737
2026-05-10 10:39:06,coarse,30,1.0,Louvain,111,98.918919,0.632899,0.227505,0.234062,0.111194,0.715356,0.316185,2.020161
2026-05-10 10:39:09,coarse,30,2.0,Leiden,189,58.095238,0.674710,0.292350,0.309290,0.156775,0.695603,0.370342,2.018049
2026-05-10 10:39:09,coarse,30,2.0,Louvain,175,62.742857,0.671573,0.282969,0.296448,0.133888,0.689612,0.360008,2.079545
2026-05-10 10:39:11,coarse,30,5.0,Leiden,297,36.969697,0.711769,0.341621,0.373770,0.187312,0.658969,0.411587,2.035138
2026-05-10 10:39:11,coarse,30,5.0,Louvain,274,40.072993,0.707628,0.335428,0.366849,0.192755,0.650870,0.407381,2.197487
2026-05-10 10:39:13,coarse,30,10.0,Leiden,392,28.010204,0.732630,0.360656,0.420765,0.222963,0.625522,0.433651,2.027642
2026-05-10 10:39:13,coarse,30,10.0,Louvain,376,29.202128,0.729305,0.360474,0.414663,0.220608,0.619562,0.431633,2.135250
2026-05-10 10:39:16,coarse,30,20.0,Leiden,506,21.699605,0.751067,0.386612,0.467486,0.245386,0.588208,0.456486,2.001424
2026-05-10 10:39:16,coarse,30,20.0,Louvain,491,22.362525,0.748000,0.384517,0.463752,0.240491,0.584429,0.453529,2.117996
2026-05-10 10:39:18,coarse,30,40.0,Leiden,675,16.266667,0.767075,0.392623,0.521311,0.256422,0.526108,0.466626,1.990108
2026-05-10 10:39:18,coarse,30,40.0,Louvain,652,16.840491,0.763166,0.388525,0.512204,0.248658,0.523691,0.461599,2.091076
2026-05-10 10:39:20,coarse,30,80.0,Leiden,912,12.039474,0.778386,0.375137,0.567304,0.239773,0.448285,0.458356,2.092911
2026-05-10 10:39:20,coarse,30,80.0,Louvain,885,12.406780,0.776721,0.376047,0.562842,0.241672,0.447114,0.458259,2.119642
2026-05-10 10:39:23,fine,8,28.0,Leiden,1240,8.854839,0.779624,0.355556,0.588889,0.204655,0.884734,0.467527,1.934514
2026-05-10 10:39:23,fine,8,28.0,Louvain,1214,9.044481,0.776980,0.355009,0.581603,0.205956,0.884065,0.466157,1.890322
2026-05-10 10:39:25,fine,8,34.0,Leiden,1295,8.478764,0.781939,0.350820,0.601275,0.202066,0.878046,0.466137,1.851820
2026-05-10 10:39:25,fine,8,34.0,Louvain,1267,8.666140,0.780079,0.351913,0.595355,0.204894,0.877494,0.466116,1.821689
2026-05-10 10:39:27,fine,8,46.0,Leiden,1359,8.079470,0.785776,0.348634,0.615392,0.203959,0.868619,0.467036,1.843635
2026-05-10 10:39:27,fine,8,46.0,Louvain,1338,8.206278,0.783600,0.344627,0.609290,0.200291,0.868555,0.463434,1.811275
2026-05-10 10:39:29,fine,8,52.0,Leiden,1385,7.927798,0.787286,0.345993,0.620674,0.202621,0.865908,0.466209,1.839586
2026-05-10 10:39:29,fine,8,52.0,Louvain,1361,8.067597,0.785898,0.345719,0.613752,0.205825,0.865581,0.465567,1.937321
